_id,Policy_Number,Base_Policy,Month,Month_Claimed,Age_Group,Age_Of_Vehicle,Fault,Past_Number_Of_Claims,Year,Fraud,Insurance_Amount,Vehicle,Accident_Area
655e239591d67ee903e53c7b,17,All Perils,Apr,May,41-50,7 years,Policy Holder,0,1994,1,24696,655d395b7086282ba8e0812c,655d5a177086282ba8e0815c
655e239591d67ee903e53c7c,18,Collision,Jul,Aug,21-30,7 years,Third Party,0,1994,1,24512,655d395b7086282ba8e08124,655d5a177086282ba8e0815a
655e239591d67ee903e53c7d,19,Liability,May,May,31-40,7 years,Policy Holder,1,1994,0,64100,655d395b7086282ba8e0813d,655d5a177086282ba8e08157
655e239591d67ee903e53c7e,20,Liability,Apr,May,21-30,6 years,Third Party,3,1994,0,64901,655d395b7086282ba8e0812d,655d5a177086282ba8e08154
655e239591d67ee903e53c7f,21,Liability,Apr,May,31-40,more than 7,Policy Holder,1,1994,0,53093,655d395b7086282ba8e08134,655d5a177086282ba8e08153
655e239591d67ee903e53c80,22,Collision,Jan,Jan,41-50,more than 7,Policy Holder,0,1994,0,23425,655d395b7086282ba8e08124,655d5a177086282ba8e0815b
655e239591d67ee903e53c81,23,Liability,Aug,Aug,61-70,more than 7,Policy Holder,1,1994,1,62708,655d395b7086282ba8e08134,655d5a177086282ba8e0815c
655e239591d67ee903e53c82,24,Liability,Jun,Jun,31-40,6 years,Third Party,0,1994,0,56888,655d395b7086282ba8e0813d,655d5a177086282ba8e0815a
655e239591d67ee903e53c83,25,All Perils,Sep,Sep,41-50,more than 7,Policy Holder,7,1994,1,12952,655d395b7086282ba8e08133,655d5a177086282ba8e08159
655e239591d67ee903e53c84,26,Liability,Mar,Apr,51-60,more than 7,Policy Holder,7,1994,0,63322,655d395b7086282ba8e0813d,655d5a177086282ba8e0815b
655e239591d67ee903e53c85,27,Collision,Mar,Jun,21-30,5 years,Policy Holder,6,1994,0,15913,655d395b7086282ba8e0812e,655d5a177086282ba8e0815a
655e239591d67ee903e53c86,28,All Perils,May,May,41-50,7 years,Policy Holder,3,1994,1,25677,655d395b7086282ba8e0811f,655d5a177086282ba8e08153
655e239591d67ee903e53c87,29,All Perils,Jul,Sep,20-Nov,new,Policy Holder,0,1994,1,25516,655d395b7086282ba8e0812e,655d5a177086282ba8e0815c
655e239591d67ee903e53c88,30,Collision,May,May,31-40,7 years,Policy Holder,0,1994,0,18648,655d395b7086282ba8e08133,655d5a177086282ba8e08159
655e239591d67ee903e53c89,31,Collision,Mar,Mar,41-50,more than 7,Policy Holder,2,1994,0,27128,655d395b7086282ba8e08127,655d5a177086282ba8e0815c
655e239591d67ee903e53c8a,32,Collision,Mar,Mar,20-Nov,new,Policy Holder,0,1994,1,10953,655d395b7086282ba8e0812e,655d5a177086282ba8e08156
655e239591d67ee903e53c8b,33,Collision,Mar,Mar,41-50,7 years,Policy Holder,5,1994,0,24316,655d395b7086282ba8e08124,655d5a177086282ba8e0815a
655e239591d67ee903e53c8c,34,Collision,Jan,Jan,21-30,6 years,Third Party,0,1994,0,14752,655d395b7086282ba8e0812e,655d5a177086282ba8e0815b
655e239591d67ee903e53c8d,35,All Perils,Jan,Jan,41-50,7 years,Policy Holder,3,1994,0,38037,655d395b7086282ba8e0812a,655d5a177086282ba8e08158
655e239591d67ee903e53c8e,36,Liability,Oct,Oct,31-40,7 years,Third Party,3,1994,0,55050,655d395b7086282ba8e08125,655d5a177086282ba8e08155
655e239591d67ee903e53c8f,37,Collision,Oct,Oct,21-30,6 years,Third Party,0,1994,0,22100,655d395b7086282ba8e0812e,655d5a177086282ba8e0815c
655e239591d67ee903e53c90,38,Collision,Sep,Sep,21-30,7 years,Policy Holder,0,1994,0,12525,655d395b7086282ba8e08133,655d5a177086282ba8e0815b
655e239591d67ee903e53c91,39,Collision,Nov,Nov,51-60,more than 7,Policy Holder,0,1994,0,65474,655d395b7086282ba8e0812d,655d5a177086282ba8e0815a
655e239591d67ee903e53c92,40,Collision,Nov,Jan,31-40,7 years,Policy Holder,0,1994,1,16252,655d395b7086282ba8e08147,655d5a177086282ba8e08154
655e239591d67ee903e53c93,41,Collision,Mar,Apr,31-40,6 years,Policy Holder,5,1994,1,23675,655d395b7086282ba8e08124,655d5a177086282ba8e0815c
655e239591d67ee903e53c94,42,All Perils,Mar,Mar,41-50,7 years,Policy Holder,3,1994,0,17384,655d395b7086282ba8e0813e,655d5a177086282ba8e08158
655e239591d67ee903e53c95,43,Liability,Jul,Jul,41-50,4 years,Policy Holder,0,1994,0,56169,655d395b7086282ba8e08146,655d5a177086282ba8e0815c
655e239591d67ee903e53c96,44,Collision,Jan,Jan,41-50,7 years,Policy Holder,5,1994,1,24674,655d395b7086282ba8e0812e,655d5a177086282ba8e0815b
655e239591d67ee903e53c97,45,Collision,Jan,Jan,71-80,more than 7,Third Party,0,1994,0,21943,655d395b7086282ba8e08147,655d5a177086282ba8e08159
655e239591d67ee903e53c98,46,All Perils,Feb,Feb,21-30,5 years,Third Party,5,1994,1,11239,655d395b7086282ba8e0813e,655d5a177086282ba8e0815b
655e239591d67ee903e53c99,47,Collision,Feb,Feb,31-40,6 years,Third Party,0,1994,0,15913,655d395b7086282ba8e0813e,655d5a177086282ba8e0815c
655e239591d67ee903e53c9a,48,Liability,Nov,Nov,31-40,5 years,Policy Holder,3,1994,0,57463,655d395b7086282ba8e08134,655d5a177086282ba8e0815a
655e239591d67ee903e53c9b,49,Liability,Apr,May,31-40,6 years,Policy Holder,4,1994,1,59641,655d395b7086282ba8e08125,655d5a177086282ba8e08158
655e239591d67ee903e53c9c,50,Collision,Apr,Apr,51-60,more than 7,Policy Holder,7,1994,1,17375,655d395b7086282ba8e0813e,655d5a177086282ba8e08159
655e239591d67ee903e53c9d,51,Liability,May,May,41-50,more than 7,Policy Holder,7,1994,1,53544,655d395b7086282ba8e0813d,655d5a177086282ba8e0815a
655e239591d67ee903e53c9e,52,Liability,Jun,Jun,21-30,6 years,Policy Holder,3,1994,1,56870,655d395b7086282ba8e0813d,655d5a177086282ba8e0815b
655e239591d67ee903e53c9f,53,Collision,Jul,Jan,21-30,4 years,Policy Holder,0,1994,0,60264,655d395b7086282ba8e0812d,655d5a177086282ba8e08152
655e239591d67ee903e53ca0,54,Collision,Jul,Aug,41-50,more than 7,Policy Holder,0,1994,0,14442,655d395b7086282ba8e0812e,655d5a177086282ba8e0815a
655e239591d67ee903e53ca1,55,Collision,Jun,Jun,41-50,7 years,Policy Holder,1,1994,0,10077,655d395b7086282ba8e0813e,655d5a177086282ba8e08159
655e239591d67ee903e53ca2,56,All Perils,Dec,Dec,41-50,more than 7,Third Party,0,1994,0,10251,655d395b7086282ba8e08133,655d5a177086282ba8e08158
655e239591d67ee903e53ca3,57,All Perils,Jun,Jun,21-30,6 years,Policy Holder,4,1994,0,16124,655d395b7086282ba8e0812e,655d5a177086282ba8e0815a
655e239591d67ee903e53ca4,58,Collision,Nov,Nov,31-40,7 years,Policy Holder,4,1994,0,14169,655d395b7086282ba8e0811f,655d5a177086282ba8e0815b
655e239591d67ee903e53ca5,59,Liability,May,May,20-Nov,new,Policy Holder,0,1994,0,52619,655d395b7086282ba8e0812d,655d5a177086282ba8e08152
655e239591d67ee903e53ca6,60,Collision,May,May,21-30,6 years,Policy Holder,0,1994,0,18862,655d395b7086282ba8e08124,655d5a177086282ba8e08159
655e239591d67ee903e53ca7,61,All Perils,Nov,Nov,21-30,5 years,Policy Holder,0,1994,0,12514,655d395b7086282ba8e08147,655d5a177086282ba8e0815c
655e239591d67ee903e53ca8,62,Collision,Sep,Jan,41-50,more than 7,Policy Holder,0,1994,0,45602,655d395b7086282ba8e0813f,655d5a177086282ba8e0815b
655e239591d67ee903e53ca9,63,All Perils,Nov,Jan,20-Nov,new,Third Party,3,1994,0,23619,655d395b7086282ba8e0812e,655d5a177086282ba8e08158
655e239591d67ee903e53caa,64,Liability,Feb,Mar,21-30,7 years,Policy Holder,3,1994,0,66069,655d395b7086282ba8e08146,655d5a177086282ba8e0815b
655e239591d67ee903e53cab,65,Collision,Dec,Dec,41-50,7 years,Policy Holder,0,1994,1,29337,655d395b7086282ba8e0813e,655d5a177086282ba8e08159
655e239591d67ee903e53cac,66,All Perils,Dec,Jan,31-40,7 years,Policy Holder,0,1994,0,13758,655d395b7086282ba8e08133,655d5a177086282ba8e0815a
655e239591d67ee903e53cad,67,Collision,Mar,Mar,31-40,7 years,Third Party,0,1994,0,11381,655d395b7086282ba8e08137,655d5a177086282ba8e0815c
655e239591d67ee903e53cae,68,Liability,Aug,Aug,61-70,more than 7,Policy Holder,5,1994,1,68499,655d395b7086282ba8e08134,655d5a177086282ba8e08156
655e239591d67ee903e53caf,69,Collision,Jan,Jan,61-70,more than 7,Policy Holder,0,1994,1,26252,655d395b7086282ba8e08147,655d5a177086282ba8e0815a
655e239591d67ee903e53cb0,70,Liability,Jan,Jan,51-60,7 years,Policy Holder,3,1994,0,57568,655d395b7086282ba8e0812d,655d5a177086282ba8e08158
655e239591d67ee903e53cb1,71,Collision,Jan,Jan,41-50,7 years,Policy Holder,5,1994,0,12901,655d395b7086282ba8e0812e,655d5a177086282ba8e0815c
655e239591d67ee903e53cb2,72,Collision,Jan,Jan,21-30,6 years,Policy Holder,1,1994,0,14553,655d395b7086282ba8e08133,655d5a177086282ba8e0815a
655e239591d67ee903e53cb3,73,Collision,Sep,Jan,21-30,5 years,Third Party,0,1994,1,16729,655d395b7086282ba8e08124,655d5a177086282ba8e08157
655e239591d67ee903e53cb4,74,Collision,Jan,Jan,41-50,more than 7,Third Party,0,1994,0,19721,655d395b7086282ba8e0812e,655d5a177086282ba8e08156
655e239591d67ee903e53cb5,75,Collision,Apr,May,51-60,7 years,Third Party,7,1994,0,14209,655d395b7086282ba8e08133,655d5a177086282ba8e08159
655e239591d67ee903e53cb6,76,Collision,Aug,Aug,31-40,6 years,Third Party,7,1994,1,19732,655d395b7086282ba8e0812c,655d5a177086282ba8e0815b
655e239591d67ee903e53cb7,77,All Perils,Oct,Jan,21-30,6 years,Third Party,0,1994,0,21916,655d395b7086282ba8e08124,655d5a177086282ba8e08153
655e239591d67ee903e53cb8,78,Collision,Feb,Feb,41-50,more than 7,Third Party,0,1994,0,58358,655d395b7086282ba8e0812d,655d5a177086282ba8e0815a
655e239591d67ee903e53cb9,79,Liability,Feb,Feb,21-30,5 years,Policy Holder,3,1994,1,50571,655d395b7086282ba8e08130,655d5a177086282ba8e08152
655e239591d67ee903e53cba,80,Collision,Feb,Mar,31-40,7 years,Third Party,3,1994,1,25417,655d395b7086282ba8e08147,655d5a177086282ba8e08159
655e239591d67ee903e53cbb,81,Liability,Jan,Jan,31-40,6 years,Policy Holder,3,1994,1,60823,655d395b7086282ba8e0813d,655d5a177086282ba8e0815a
655e239591d67ee903e53cbc,82,Liability,Jan,Jan,31-40,7 years,Third Party,1,1994,0,58384,655d395b7086282ba8e08134,655d5a177086282ba8e0815b
655e239591d67ee903e53cbd,83,All Perils,Dec,Apr,31-40,7 years,Third Party,0,1994,0,17767,655d395b7086282ba8e08124,655d5a177086282ba8e08157
655e239591d67ee903e53cbe,84,Liability,Nov,Feb,41-50,6 years,Policy Holder,0,1994,0,57754,655d395b7086282ba8e08146,655d5a177086282ba8e08158
655e239591d67ee903e53cbf,85,Liability,Dec,Jan,20-Nov,new,Policy Holder,6,1994,1,61817,655d395b7086282ba8e0812d,655d5a177086282ba8e08154
655e239591d67ee903e53cc0,86,Liability,Dec,Mar,21-30,6 years,Policy Holder,1,1994,0,47826,655d395b7086282ba8e08126,655d5a177086282ba8e08151
655e239591d67ee903e53cc1,87,Collision,May,May,21-30,6 years,Policy Holder,0,1994,0,14123,655d395b7086282ba8e08147,655d5a177086282ba8e0815a
655e239591d67ee903e53cc2,88,All Perils,May,May,31-40,4 years,Third Party,4,1994,0,17659,655d395b7086282ba8e08133,655d5a177086282ba8e0815b
655e239591d67ee903e53cc3,89,All Perils,Oct,Oct,71-80,7 years,Third Party,0,1994,1,20083,655d395b7086282ba8e0813e,655d5a177086282ba8e0815c
655e239591d67ee903e53cc4,90,Liability,Oct,Oct,21-30,4 years,Policy Holder,2,1994,0,62069,655d395b7086282ba8e0812d,655d5a177086282ba8e08159
655e239591d67ee903e53cc5,91,Collision,Oct,Oct,21-30,6 years,Third Party,0,1994,0,52403,655d395b7086282ba8e0812d,655d5a177086282ba8e08158
655e239591d67ee903e53cc6,92,Liability,Jan,Jan,31-40,7 years,Policy Holder,8,1994,0,60838,655d395b7086282ba8e0813d,655d5a177086282ba8e0815b
655e239591d67ee903e53cc7,93,All Perils,Jan,Jan,41-50,7 years,Policy Holder,4,1994,0,20952,655d395b7086282ba8e0812e,655d5a177086282ba8e0815a
655e239591d67ee903e53cc8,94,Collision,Aug,Aug,31-40,7 years,Policy Holder,5,1994,0,29822,655d395b7086282ba8e0813e,655d5a177086282ba8e08156
655e239591d67ee903e53cc9,95,Collision,Nov,Jan,31-40,7 years,Policy Holder,0,1994,0,67753,655d395b7086282ba8e0812d,655d5a177086282ba8e08159
655e239591d67ee903e53cca,96,Collision,May,May,61-70,more than 7,Third Party,0,1994,0,11709,655d395b7086282ba8e0812e,655d5a177086282ba8e0815a
655e239591d67ee903e53ccb,97,Collision,Nov,Jan,31-40,7 years,Policy Holder,1,1994,0,17306,655d395b7086282ba8e08147,655d5a177086282ba8e08157
655e239591d67ee903e53ccc,98,All Perils,Jan,Jan,31-40,7 years,Policy Holder,1,1994,0,10333,655d395b7086282ba8e08147,655d5a177086282ba8e08158
655e239591d67ee903e53ccd,99,All Perils,Nov,Jan,41-50,7 years,Third Party,3,1994,0,17532,655d395b7086282ba8e0813e,655d5a177086282ba8e0815a
655e239591d67ee903e53cce,100,All Perils,Jan,Jan,31-40,7 years,Policy Holder,1,1994,0,16474,655d395b7086282ba8e0813e,655d5a177086282ba8e08154
655e239591d67ee903e53ccf,101,All Perils,Nov,Jan,31-40,7 years,Policy Holder,6,1994,1,40382,655d395b7086282ba8e08126,655d5a177086282ba8e0815c
655e239591d67ee903e53cd0,102,All Perils,Jan,Jan,31-40,6 years,Third Party,1,1994,0,24108,655d395b7086282ba8e0813e,655d5a177086282ba8e08155
655e239591d67ee903e53cd1,103,All Perils,Jan,Feb,31-40,6 years,Policy Holder,5,1994,1,14304,655d395b7086282ba8e0812c,655d5a177086282ba8e0815c
655e239591d67ee903e53cd2,104,All Perils,Jan,Jan,51-60,more than 7,Policy Holder,0,1994,0,13181,655d395b7086282ba8e08133,655d5a177086282ba8e0815b
655e239591d67ee903e53cd3,105,All Perils,Jan,Jan,31-40,7 years,Third Party,3,1994,0,12981,655d395b7086282ba8e0813e,655d5a177086282ba8e08158
655e239591d67ee903e53cd4,106,Liability,Dec,Dec,21-30,7 years,Policy Holder,0,1994,0,56222,655d395b7086282ba8e08128,655d5a177086282ba8e0815b
655e239591d67ee903e53cd5,107,Collision,Aug,Aug,21-30,7 years,Policy Holder,2,1994,1,25914,655d395b7086282ba8e08133,655d5a177086282ba8e0815c
655e239591d67ee903e53cd6,108,All Perils,Nov,Apr,41-50,7 years,Third Party,0,1994,0,11663,655d395b7086282ba8e0813e,655d5a177086282ba8e0815a
655e239591d67ee903e53cd7,109,All Perils,Jun,Oct,41-50,more than 7,Policy Holder,0,1994,1,25107,655d395b7086282ba8e08124,655d5a177086282ba8e08157
655e239591d67ee903e53cd8,110,Liability,Mar,Mar,31-40,6 years,Policy Holder,0,1994,0,69137,655d395b7086282ba8e0812d,655d5a177086282ba8e08159
655e239591d67ee903e53cd9,111,Collision,May,Sep,21-30,5 years,Policy Holder,4,1994,1,24968,655d395b7086282ba8e08147,655d5a177086282ba8e0815a
655e239591d67ee903e53cda,112,All Perils,May,May,31-40,6 years,Policy Holder,3,1994,1,28132,655d395b7086282ba8e0813e,655d5a177086282ba8e08153
655e239591d67ee903e53cdb,113,All Perils,Nov,Dec,31-40,6 years,Third Party,0,1994,0,29230,655d395b7086282ba8e0812e,655d5a177086282ba8e08157
655e239591d67ee903e53cdc,114,All Perils,Nov,Jan,51-60,more than 7,Policy Holder,0,1994,0,35371,655d395b7086282ba8e08120,655d5a177086282ba8e08150
655e239591d67ee903e53cdd,115,Collision,Dec,Jan,41-50,more than 7,Third Party,1,1994,0,16068,655d395b7086282ba8e08124,655d5a177086282ba8e08159
655e239591d67ee903e53cde,116,Collision,Dec,Jan,20-Nov,4 years,Third Party,4,1994,0,60396,655d395b7086282ba8e0812d,655d5a177086282ba8e0815b
655e239591d67ee903e53cdf,117,Collision,Nov,Nov,31-40,7 years,Third Party,1,1994,1,13424,655d395b7086282ba8e0813e,655d5a177086282ba8e0815a
655e239591d67ee903e53ce0,118,Liability,Aug,Aug,21-30,6 years,Policy Holder,4,1994,0,68931,655d395b7086282ba8e0813d,655d5a177086282ba8e0815b
655e239591d67ee903e53ce1,119,All Perils,Nov,Dec,61-70,5 years,Policy Holder,3,1994,0,17965,655d395b7086282ba8e08133,655d5a177086282ba8e08158
655e239591d67ee903e53ce2,120,All Perils,Dec,Dec,20-Nov,new,Policy Holder,0,1994,1,10676,655d395b7086282ba8e0812e,655d5a177086282ba8e0814f
655e239591d67ee903e53ce3,121,All Perils,Feb,Mar,20-Nov,new,Policy Holder,0,1994,1,25220,655d395b7086282ba8e0812e,655d5a177086282ba8e08152
655e239591d67ee903e53ce4,122,Collision,Oct,Oct,20-Nov,2 years,Third Party,0,1994,1,53524,655d395b7086282ba8e0812d,655d5a177086282ba8e08151
655e239591d67ee903e53ce5,123,Collision,Jun,Jun,21-30,6 years,Policy Holder,7,1994,0,22855,655d395b7086282ba8e0813e,655d5a177086282ba8e0815a
655e239591d67ee903e53ce6,124,Collision,Apr,Apr,51-60,more than 7,Policy Holder,6,1994,0,20083,655d395b7086282ba8e0812e,655d5a177086282ba8e0815b
655e239591d67ee903e53ce7,125,All Perils,Feb,Feb,21-30,6 years,Third Party,0,1994,0,28756,655d395b7086282ba8e08147,655d5a177086282ba8e08159
655e239591d67ee903e53ce8,126,Liability,Feb,Feb,21-30,7 years,Policy Holder,5,1994,0,53172,655d395b7086282ba8e0813d,655d5a177086282ba8e08158
655e239591d67ee903e53ce9,127,Collision,Jan,Mar,51-60,more than 7,Policy Holder,0,1994,0,25582,655d395b7086282ba8e08127,655d5a177086282ba8e08157
655e239591d67ee903e53cea,128,Liability,Jan,Jan,31-40,7 years,Policy Holder,4,1994,0,67004,655d395b7086282ba8e08134,655d5a177086282ba8e0815b
655e239591d67ee903e53ceb,129,Liability,Jan,Jan,21-30,6 years,Third Party,6,1994,1,61830,655d395b7086282ba8e08125,655d5a177086282ba8e08150
655e239591d67ee903e53cec,130,Collision,Nov,Nov,21-30,7 years,Policy Holder,3,1994,1,14474,655d395b7086282ba8e0812e,655d5a177086282ba8e08159
655e239591d67ee903e53ced,131,Collision,Jul,Jul,31-40,5 years,Policy Holder,7,1994,1,28305,655d395b7086282ba8e0813e,655d5a177086282ba8e0815c
655e239591d67ee903e53cee,132,Collision,Apr,Apr,20-Nov,3 years,Third Party,0,1994,0,24527,655d395b7086282ba8e0812e,655d5a177086282ba8e0815a
655e239591d67ee903e53cef,133,Collision,Oct,Oct,51-60,more than 7,Third Party,4,1994,0,22472,655d395b7086282ba8e0813e,655d5a177086282ba8e08158
655e239591d67ee903e53cf0,134,Collision,Oct,Oct,51-60,more than 7,Policy Holder,0,1994,0,19675,655d395b7086282ba8e0812c,655d5a177086282ba8e0815b
655e239591d67ee903e53cf1,135,Collision,Apr,Apr,21-30,6 years,Policy Holder,1,1994,0,28961,655d395b7086282ba8e0812e,655d5a177086282ba8e08159
655e239591d67ee903e53cf2,136,Collision,Mar,Mar,21-30,7 years,Policy Holder,1,1994,0,21130,655d395b7086282ba8e0813e,655d5a177086282ba8e0815b
655e239591d67ee903e53cf3,137,Collision,Mar,Mar,41-50,7 years,Third Party,0,1994,1,28644,655d395b7086282ba8e08147,655d5a177086282ba8e08157
655e239591d67ee903e53cf4,138,All Perils,Feb,Mar,21-30,7 years,Policy Holder,0,1994,1,18484,655d395b7086282ba8e08147,655d5a177086282ba8e08155
655e239591d67ee903e53cf5,139,All Perils,Dec,Jan,41-50,7 years,Policy Holder,7,1994,0,20217,655d395b7086282ba8e08137,655d5a177086282ba8e0815c
655e239591d67ee903e53cf6,140,All Perils,Oct,Feb,31-40,7 years,Policy Holder,0,1994,1,14530,655d395b7086282ba8e08147,655d5a177086282ba8e08158
655e239591d67ee903e53cf7,141,Collision,Jul,Jul,51-60,more than 7,Policy Holder,1,1994,0,55132,655d395b7086282ba8e0812d,655d5a177086282ba8e0815a
655e239591d67ee903e53cf8,142,All Perils,Jun,Jul,31-40,6 years,Policy Holder,0,1994,0,28044,655d395b7086282ba8e0813e,655d5a177086282ba8e0815b
655e239591d67ee903e53cf9,143,Liability,Feb,Mar,51-60,more than 7,Policy Holder,0,1994,1,52636,655d395b7086282ba8e08125,655d5a177086282ba8e08157
655e239591d67ee903e53cfa,144,Collision,Feb,Feb,61-70,more than 7,Policy Holder,3,1994,1,11997,655d395b7086282ba8e08147,655d5a177086282ba8e08155
655e239591d67ee903e53cfb,145,Liability,Feb,Feb,21-30,5 years,Third Party,4,1994,0,57420,655d395b7086282ba8e08146,655d5a177086282ba8e0814f
655e239591d67ee903e53cfc,146,All Perils,Nov,Nov,41-50,7 years,Policy Holder,0,1994,0,24248,655d395b7086282ba8e08133,655d5a177086282ba8e0815b
655e239591d67ee903e53cfd,147,Liability,Sep,Sep,31-40,6 years,Third Party,0,1994,1,65604,655d395b7086282ba8e08134,655d5a177086282ba8e08153
655e239591d67ee903e53cfe,148,All Perils,Dec,May,31-40,more than 7,Policy Holder,0,1994,0,25242,655d395b7086282ba8e08147,655d5a177086282ba8e08151
655e239591d67ee903e53cff,149,Collision,Jun,Jun,21-30,6 years,Policy Holder,0,1994,0,12930,655d395b7086282ba8e0811f,655d5a177086282ba8e0815c
655e239591d67ee903e53d00,150,Collision,May,May,41-50,more than 7,Policy Holder,0,1994,1,13196,655d395b7086282ba8e08133,655d5a177086282ba8e08159
655e239591d67ee903e53d01,151,Collision,Jan,Jan,31-40,7 years,Third Party,3,1994,1,16436,655d395b7086282ba8e0813e,655d5a177086282ba8e08157
655e239591d67ee903e53d02,152,Liability,Jan,Jan,21-30,5 years,Policy Holder,7,1994,0,59197,655d395b7086282ba8e0813d,655d5a177086282ba8e0815b
655e239591d67ee903e53d03,153,Liability,Jan,Jan,31-40,7 years,Third Party,1,1994,0,59941,655d395b7086282ba8e0813d,655d5a177086282ba8e0815a
655e239591d67ee903e53d04,154,All Perils,Sep,Oct,41-50,7 years,Third Party,3,1994,0,19593,655d395b7086282ba8e0812e,655d5a177086282ba8e08158
655e239591d67ee903e53d05,155,Liability,Jan,Jan,31-40,6 years,Third Party,3,1994,0,64949,655d395b7086282ba8e0812d,655d5a177086282ba8e08159
655e239591d67ee903e53d06,156,Liability,Jan,Feb,21-30,6 years,Policy Holder,7,1994,0,63660,655d395b7086282ba8e08121,655d5a177086282ba8e08155
655e239591d67ee903e53d07,157,Collision,Jan,Feb,41-50,more than 7,Policy Holder,6,1994,0,22262,655d395b7086282ba8e08133,655d5a177086282ba8e0815c
655e239591d67ee903e53d08,158,All Perils,Jan,Feb,41-50,7 years,Policy Holder,1,1994,1,18292,655d395b7086282ba8e08124,655d5a177086282ba8e0815b
655e239591d67ee903e53d09,159,Liability,Jan,Feb,31-40,6 years,Policy Holder,3,1994,1,58701,655d395b7086282ba8e0812d,655d5a177086282ba8e08155
655e239591d67ee903e53d0a,160,Liability,Jan,Jan,41-50,more than 7,Policy Holder,3,1994,0,68470,655d395b7086282ba8e0812d,655d5a177086282ba8e08154
655e239591d67ee903e53d0b,161,All Perils,Dec,Jan,31-40,6 years,Policy Holder,0,1994,1,12780,655d395b7086282ba8e08124,655d5a177086282ba8e08158
655e239591d67ee903e53d0c,162,Liability,Jan,Jan,20-Nov,new,Policy Holder,4,1994,0,58519,655d395b7086282ba8e0812d,655d5a177086282ba8e08155
655e239591d67ee903e53d0d,163,Liability,Jan,Jan,31-40,7 years,Third Party,1,1994,0,65490,655d395b7086282ba8e08125,655d5a177086282ba8e0815c
655e239591d67ee903e53d0e,164,All Perils,Jan,Jan,41-50,7 years,Third Party,0,1994,1,14820,655d395b7086282ba8e08147,655d5a177086282ba8e0815b
655e239591d67ee903e53d0f,165,Collision,Jan,Jan,31-40,4 years,Third Party,7,1994,1,24146,655d395b7086282ba8e08147,655d5a177086282ba8e08159
655e239591d67ee903e53d10,166,Liability,Jan,Jan,51-60,more than 7,Policy Holder,3,1994,0,64005,655d395b7086282ba8e08146,655d5a177086282ba8e08156
655e239591d67ee903e53d11,167,All Perils,Jan,Jan,61-70,more than 7,Third Party,1,1994,1,21592,655d395b7086282ba8e0812e,655d5a177086282ba8e0815c
